Date,Firm,BuyPrice,TimeBuy,TimeSell,Return,StockCode,Order,NewsFeature,NewsSEN,NewsTopic,NewsReport,ChangeBuy,ChangeOpen,MAd20,MAd60,MAd120,High5,High20,High60,BeforeMoney,MaxMoney,MinMoney,TimeMaxMoney,TimeMinMoney,MAm10,MAm20,MAm60,MaxHigh,TimeMinuteBuy,TimeSecondBuy,Alert,Mezzanine
2022-03-30,시공테크,9950,12:05:02,12:08:57,-0.6,020710,8,0,0,0,0,26.43,6.1,43.42,55.57,55.18,-7.54,-7.54,-7.54,1508007690,5649994670,343140,11:46:00,10:59:00,1.69,4.86,14.81,0.1,725,2,0,0
2022-03-30,자연과환경,2295,12:11:34,12:16:21,-0.07999999999999999,043910,9,0,0,0,0,4.56,-5.47,36.42,62.83,50.25,9.8,9.8,9.8,2989506010,4702750380,5671200,12:06:00,11:30:00,4.82,6.63,10.51,0.0,731,34,0,0
2022-03-30,아이스크림에듀,8830,12:16:56,12:17:46,-0.06999999999999998,289010,10,0,0,0,0,22.98,10.03,36.24,33.14,28.02,-13.93,-13.93,-8.49,2197549400,4198180360,1750980,11:38:00,11:31:00,3.66,4.88,9.34,-1.7,736,56,0,0
2022-03-30,바이오에프디엔씨,22150,12:18:29,12:19:34,0.6000000000000001,251120,11,0,0,0,0,15.36,-0.26,17.01,12.65,12.65,-11.51,-7.0,30.25,40214400,725709150,78200,10:15:00,09:31:00,4.88,4.85,5.39,-1.81,738,29,0,0
2022-03-30,남선알미늄,4355,14:40:36,14:46:57,-1.1,008350,12,0,0,0,0,21.99,6.86,67.58,76.8,66.56,-1.95,-1.95,-1.95,9148002300,19330065630,87953920,09:00:00,11:35:00,1.33,1.17,1.74,1.49,880,36,1,0
2022-03-30,유니크,6940,15:17:09,15:17:19,3.3000000000000003,011320,13,1,0,0,0,20.91,0.87,25.51,22.9,10.09,-15.71,-15.71,-5.62,613250370,1958346040,5860,15:15:00,14:37:00,11.7,13.43,16.4,-2.45,917,9,0,0
2022-03-31,룽투코리아,8040,09:07:18,09:09:31,-4.53,060240,1,0,0,0,0,5.37,2.23,40.03,18.79,14.25,1.12,1.12,10.07,1192539180,1798420880,361071900,09:00:00,09:05:00,3.86,5.26,6.74,-0.75,547,18,0,0
2022-03-31,효성오앤비,14450,09:10:38,09:34:09,-0.3,097870,2,0,0,0,0,9.47,6.44,3.98,41.85,51.42,11.42,24.57,24.57,1045670150,2200305000,230251400,09:00:00,09:06:00,2.34,5.55,8.08,-0.35,550,38,0,0
2022-03-31,우리바이오,5310,09:34:20,09:42:37,-2.5599999999999996,082850,3,0,0,0,0,7.49,-0.91,41.3,40.13,31.56,-1.13,-1.13,-1.13,4922396070,6277491660,40009125,09:27:00,09:16:00,3.45,5.55,6.46,0.19,574,20,0,0
2022-03-31,큐캐피탈,847,09:44:12,09:51:17,-2.07,016600,4,0,0,0,0,7.22,0.89,39.22,43.92,48.86,-2.13,-2.13,-2.13,1997566608,4308970416,107156520,09:41:00,09:34:00,2.31,3.45,4.21,0.35,584,12,0,0
