주문일자,종목명,매수가격,매수시간,매도시간,수익률,매매횟수
2022-04-08,대동기어,9690,09:22:35,09:23:41,-1.65,1
2022-04-08,액션스퀘어,5170,09:24:09,09:25:54,0.0,2
2022-04-08,NHN벅스,17350,09:30:13,09:42:50,-0.58,3
2022-04-08,코스모화학,16250,09:47:28,09:49:16,-1.85,4
2022-04-08,베셀,5590,09:50:19,09:53:01,-2.33,5
2022-04-08,NHN벅스,17450,09:56:31,11:18:21,-1.72,6
2022-04-08,디스플레이텍,8510,11:22:02,11:25:30,0.12,7
2022-04-08,린드먼아시아,7000,11:47:32,11:48:08,0.0,8
2022-04-08,KCTC,7020,13:51:07,13:51:40,-1.71,9
2022-04-08,엠아이텍,10750,13:54:03,14:42:04,2.33,10
2022-04-08,시너지이노베이션,4530,14:50:09,14:51:09,-0.11,11
2022-04-08,시너지이노베이션,4375,15:00:57,15:05:01,-2.83,12
2022-04-08,시너지이노베이션,4315,15:05:32,15:13:37,-1.39,13
2022-04-08,하인크코리아,3720,15:15:02,09:02:32,10.31,14
2022-04-12,티사이언티픽,4505,09:45:27,09:49:54,-2.11,1
2022-04-12,GS글로벌,4050,09:55:29,09:58:43,2.84,2
2022-04-13,LG헬로비전,6160,10:01:02,10:04:40,1.95,1
2022-04-15,쇼박스,6430,09:54:51,09:57:19,0.93,1
2022-04-15,쇼박스,6630,10:01:11,10:02:56,1.36,2
2022-04-15,쇼박스,6510,13:41:29,13:43:57,0.46,3
2022-04-19,쌍방울,941,09:56:00,09:56:42,-2.13,1
2022-04-19,쌍방울,926,09:57:26,10:01:21,-4.1,2
2022-04-19,에코바이오,8810,10:01:31,10:02:52,1.4,3
2022-04-19,KG스틸,19400,10:03:41,10:05:39,-0.26,4
2022-04-19,쌍방울,887,10:05:48,10:50:28,1.58,5
2022-04-19,SCI평가정보,4105,10:53:25,10:53:32,-0.37,6
2022-04-19,STX엔진,16000,11:05:07,11:06:03,0.31,7
2022-04-19,일동홀딩스,43950,11:24:25,11:27:57,0.46,8
2022-04-19,일승,4235,11:30:53,11:34:31,0.0,9
2022-04-19,쌍방울,890,11:39:46,13:02:06,3.6,10
2022-04-19,팜스토리,3280,13:49:10,13:50:27,2.44,11
2022-04-19,쌍방울,924,13:56:51,14:05:34,2.71,12
2022-04-19,광림,2855,14:11:10,14:11:54,1.05,13
2022-04-20,대주산업,3930,09:36:38,09:44:21,-0.38,1
2022-04-20,한국맥널티,10300,09:47:24,09:48:26,1.4,2
2022-04-20,하이스틸,7380,14:07:57,14:09:32,0.41,3
2022-04-21,한신기계,12000,09:22:17,09:23:48,2.5,1
2022-04-22,사조동아원,2060,9:43:16,9:46:09,1.46,1
