주문일자,체결시간,종목명,매수가,수익률,매매기법,매도시간,종목코드,매수등락률,고가등락률,시가등락률,뉴스기사,10이격도,20이격도,최대거래대금(억),최소거래대금(억),최대거래대금 시간
2022-03-31,10:31:38,대한전선,1645,4.86,,11:46:54,001440,15.44,29.82,1.05,1,1.67,2.89,64,0,2022-04-20 10:14:00
2022-03-31,13:31:27,대한전선,1795,-0.84,,14:09:01,001440,25.96,29.82,1.05,1,0.53,0.6,85,0,2022-04-20 12:22:00
2022-03-31,14:19:59,대한전선,1810,7.73,상따,09:00:07,001440,27.02,29.82,1.05,1,1.0,1.26,85,0,2022-04-20 12:22:00
2022-04-01,09:11:41,대한전선,2035,-1.72,,09:23:06,001440,10.0,15.95,5.68,1,-0.27,4.15,280,84,2022-04-20 09:00:00
2022-03-31,13:13:20,대신정보통신,2300,-0.22,,13:13:58,020180,15.29,19.8,-4.01,1,2.45,2.36,41,0,2022-04-20 12:49:00
2022-03-31,13:15:51,코리아에프티,3555,1.55,,13:18:30,123410,10.06,13.78,0.77,0,4.59,4.76,2,0,2022-04-20 12:53:00
2022-04-01,09:06:45,IHQ,1440,-2.43,,09:07:35,003560,11.63,12.4,3.88,1,7.74,9.46,6,2,2022-04-20 09:00:00
2022-04-01,09:28:04,KH 필룩스,2730,0.0,,09:28:45,033180,28.17,29.58,16.9,1,2.38,5.01,27,3,2022-04-20 09:16:00
2022-04-06,09:31:50,KH 필룩스,3055,-1.96,,09:35:16,033180,16.16,19.01,-2.66,1,6.54,7.91,30,1,2022-04-20 09:30:00
2022-04-01,09:30:13,하림,3545,2.4,,09:37:13,136480,9.58,13.91,0.0,1,0.9,2.28,38,0,2022-04-20 09:20:00
2022-04-01,10:36:17,에스엠,89600,-0.78,,10:46:55,041510,9.8,10.29,-0.61,1,1.43,2.15,64,1,2022-04-20 09:56:00
2022-04-01,10:52:40,미래산업,18200,1.92,,10:59:17,025560,25.95,29.76,23.88,1,2.8,5.19,24,0,2022-04-20 09:02:00
2022-04-01,10:59:57,금강철강,8850,0.0,,11:00:48,053260,15.23,16.93,1.17,0,3.56,5.46,60,0,2022-04-20 10:56:00
2022-04-01,13:05:00,아이오케이,1570,1.91,,13:31:14,078860,27.13,29.96,25.91,1,0.54,1.27,50,0,2022-04-20 09:02:00
2022-04-01,14:35:08,이수앱지스,8550,-0.12,,14:35:47,086890,26.67,28.89,0.0,1,1.2,2.23,32,0,2022-04-20 14:01:00
2022-04-01,14:38:58,이수앱지스,8530,0.0,,14:42:15,086890,26.37,28.89,0.0,1,0.29,1.4,32,0,2022-04-20 14:01:00
2022-04-01,14:37:13,네오셈,3975,-4.53,,14:38:07,253590,7.43,7.57,-2.03,0,2.95,4.57,24,0,2022-04-20 14:35:00
2022-04-01,14:47:04,잇츠한불,25050,4.99,,14:49:26,226320,21.31,28.09,-0.48,1,0.93,1.46,41,0,2022-04-20 11:45:00
2022-04-01,15:04:41,잇츠한불,25750,-1.17,,15:11:27,226320,24.7,28.09,-0.48,1,-0.41,-0.45,47,0,2022-04-20 14:48:00
2022-04-01,15:11:53,지에스이,5970,-5.03,,15:13:24,053050,13.07,14.77,6.06,0,3.04,6.11,77,0,2022-04-20 15:07:00
2022-04-04,09:18:52,SG세계물산,794,-1.01,,09:19:08,004060,6.15,7.89,3.88,1,1.76,2.14,9,0,2022-04-20 09:00:00
2022-04-04,09:21:02,KEC,3463,-0.24,,09:25:11,092220,14.67,21.52,2.32,1,3.78,6.29,102,2,2022-04-20 09:20:00
2022-04-04,09:27:24,KEC,3460,2.31,,09:28:20,092220,14.57,21.52,2.32,1,0.55,3.05,102,2,2022-04-20 09:20:00
2022-04-04,09:54:31,KEC,3580,-1.96,,09:56:12,092220,18.54,21.52,2.32,1,0.86,0.33,102,2,2022-04-20 09:20:00
2022-04-04,09:59:08,KEC,3520,0.0,,10:21:28,092220,16.56,21.52,2.32,1,-0.3,-0.94,102,2,2022-04-20 09:20:00
2022-04-04,10:25:37,미래아이앤지,574,1.92,,10:25:50,007120,27.56,30.0,1.33,1,9.35,13.39,29,0,2022-04-20 10:24:00
2022-04-04,10:30:48,한신기계,9500,1.89,,10:33:47,011700,12.16,22.2,0.94,0,1.59,3.15,70,2,2022-04-20 09:35:00
2022-04-04,13:19:24,한신기계,10250,-3.61,,13:30:24,011700,21.02,22.2,0.94,0,1.54,1.61,107,1,2022-04-20 10:32:00
2022-04-04,14:39:06,한신기계,10150,-1.67,,15:06:43,011700,19.83,22.2,0.94,0,1.24,1.99,107,1,2022-04-20 10:32:00
2022-04-06,09:20:23,한신기계,10600,0.0,,09:21:42,011700,10.42,11.46,0.52,1,1.58,4.1,152,10,2022-04-20 09:08:00
