번호,시간,회사명,종목코드,공시제목,제출인
37,2022-02-25 16:03,중앙에너비스,440,[투자주의]투자경고종목 지정예고,시장감시위원회
36,2022-02-25 16:03,큐로홀딩스,51780,[투자주의]투자경고종목 지정예고,시장감시위원회
35,2022-02-25 16:03,HLB테라퓨틱스,115450,[투자주의]특정계좌(군) 매매관여 과다종목,시장감시위원회
34,2022-02-25 15:58,일동제약,249420,[투자주의]투자경고종목 지정예고,시장감시위원회
33,2022-02-24 16:28,지티지웰니스,219750,[투자주의]소수계좌 거래집중 종목,시장감시위원회
32,2022-02-24 16:28,브이씨,365900,[투자주의]단일계좌 거래량 상위종목,시장감시위원회
31,2022-02-24 16:19,대성에너지,117580,[투자주의]투자경고종목 지정예고,시장감시위원회
30,2022-02-24 16:19,SH에너지화학,2360,[투자주의]스팸관여과다종목,시장감시위원회
29,2022-02-23 16:06,엘아이에스,138690,[투자주의]단일계좌 거래량 상위종목,시장감시위원회
28,2022-02-23 16:06,이스트아시아홀딩스,900110,[투자주의]투자경고종목 지정예고,시장감시위원회
27,2022-02-23 16:06,엔에스엔,31860,[투자주의]투자경고종목 지정예고,시장감시위원회
26,2022-02-23 16:06,지에스이,53050,[투자주의]투자경고종목 지정예고,시장감시위원회
25,2022-02-23 16:06,비에이치아이,83650,[투자주의]특정계좌(군) 매매관여 과다종목,시장감시위원회
24,2022-02-23 16:06,지에스이,53050,[투자주의]스팸관여과다종목,시장감시위원회
23,2022-02-23 16:06,와이지엔터테인먼트,122870,[투자주의]스팸관여과다종목,시장감시위원회
22,2022-02-23 16:04,명진홀딩스,267060,[투자주의]소수계좌 거래집중 종목,시장감시위원회
21,2022-02-22 16:22,지에스이,53050,[투자주의]단일계좌 거래량 상위종목,시장감시위원회
20,2022-02-22 16:22,디젠스,113810,[투자주의]단일계좌 거래량 상위종목,시장감시위원회
19,2022-02-22 16:21,엔에스엠,238170,[투자주의]단일계좌 거래량 상위종목,시장감시위원회
18,2022-02-21 16:56,디젠스,113810,[투자주의]단일계좌 거래량 상위종목,시장감시위원회
17,2022-02-21 16:56,바이오에프디엔씨,251120,[투자주의]단일계좌 거래량 상위종목,시장감시위원회
16,2022-02-21 16:56,경남제약,53950,[투자주의]투자경고종목 지정해제 및 재지정 예고,시장감시위원회
15,2022-02-21 16:56,에너토크,19990,[투자주의]스팸관여과다종목,시장감시위원회
14,2022-02-21 16:56,베셀,177350,[투자주의]스팸관여과다종목,시장감시위원회
13,2022-02-21 16:05,하이트론씨스템즈,19490,[투자주의]소수계좌 거래집중 종목,시장감시위원회
12,2022-02-21 16:05,대한제강,84010,[투자주의]소수계좌 거래집중 종목,시장감시위원회
11,2022-02-18 17:06,비에이치아이,83650,[투자주의]소수계좌 거래집중 종목,시장감시위원회
10,2022-02-18 17:06,아즈텍WB,32080,[투자주의]특정계좌(군) 매매관여 과다종목,시장감시위원회
9,2022-02-18 16:26,대동전자,8110,[투자주의]스팸관여과다종목,시장감시위원회
8,2022-02-17 16:23,제테마,216080,[투자주의]소수계좌 거래집중 종목,시장감시위원회
7,2022-02-17 16:23,이즈미디어,181340,[투자주의]단일계좌 거래량 상위종목,시장감시위원회
6,2022-02-17 16:23,휴마시스,205470,[투자주의]투자경고종목 지정해제 및 재지정 예고,시장감시위원회
5,2022-02-17 16:08,동양,1520,[투자주의]종가급변 종목(동양3우B),시장감시위원회
4,2022-02-17 16:08,한국주강,25890,[투자주의]상한가잔량 상위종목,시장감시위원회
3,2022-02-16 16:06,다보링크,340360,[투자주의]소수계좌 거래집중 종목,시장감시위원회
2,2022-02-16 16:06,에너토크,19990,[투자주의]상한가잔량 상위종목,시장감시위원회
1,2022-02-16 16:06,효성오앤비,97870,[투자주의]스팸관여과다종목,시장감시위원회
