주문일자,체결시간,종목명,매수가,수익률,매매기법,종목코드,매수등락률,고가등락률,시가등락률,뉴스기사
2022-04-04,13:32:18,동양철관,1440,-0.35,,008970,19.5,21.99,0.41,1
2022-04-04,13:46:32,정산애강,2445,2.15,,022220,16.43,20.48,-0.24,1
2022-04-04,13:58:24,정산애강,2415,-2.07,,022220,15.0,20.48,-0.24,1
2022-04-04,14:20:00,정산애강,2375,-3.58,,022220,13.1,20.48,-0.24,1
2022-04-04,14:33:08,정산애강,2335,-1.28,,022220,11.19,20.48,-0.24,1
2022-04-04,13:57:15,한국종합기술,8260,-1.56,,023350,15.04,16.16,-0.14,0
2022-04-04,14:03:36,화성밸브,7170,-0.7,,039610,21.53,25.25,0.85,0
2022-04-04,14:11:21,화성밸브,7290,-0.82,,039610,23.56,25.25,0.85,0
2022-04-04,14:29:19,패션플랫폼,2530,-0.99,,225590,18.5,23.65,0.94,0
2022-04-04,15:06:45,현대바이오,31050,-1.93,,048410,7.81,8.33,0.0,1
2022-04-04,15:09:02,데이타솔루션,9001,-0.78,,263800,11.81,13.91,1.74,1
2022-04-04,15:13:21,신영스팩5호,3050,-2.46,,323280,22.98,28.63,0.4,0
2022-04-05,09:06:11,누보,3910,-0.51,,332290,18.31,22.24,13.62,1
2022-04-06,09:38:02,누보,4100,0.37,,332290,14.85,18.07,5.88,1
2022-04-05,09:11:25,아모그린텍,13050,2.3,,125210,17.04,20.63,11.66,0
2022-04-05,09:16:19,NPC,9780,-2.86,,004250,10.76,10.87,4.98,1
2022-04-05,09:17:44,무림SP,3790,0.92,,001810,14.67,29.95,0.91,1
2022-04-05,09:20:01,무림페이퍼,3049,4.46,,009200,10.87,24.0,3.64,1
2022-04-06,09:48:59,에이티세미콘,2155,2.32,,089530,21.75,29.94,4.8,1
2022-04-06,10:45:12,에이티세미콘,2255,2.0,,089530,27.4,29.94,4.8,1
2022-04-07,09:30:20,KG ETS,18200,4.95,,151860,15.19,22.15,15.51,1
2022-04-08,09:22:35,대동기어,9690,-1.65,,008830,21.89,24.15,4.53,1
2022-04-08,09:24:09,액션스퀘어,5170,0.0,,205500,14.63,16.63,2.0,0
2022-04-08,09:30:13,NHN벅스,17350,-0.58,,104200,14.9,20.86,3.31,1
2022-04-08,09:56:31,NHN벅스,17450,-1.72,,104200,15.56,20.86,3.31,1
2022-04-08,09:47:28,코스모화학,16250,-1.85,,005420,11.68,13.06,0.69,1
2022-04-08,09:50:19,베셀,5590,-2.33,,177350,23.67,28.32,1.77,1
2022-04-08,11:22:02,디스플레이텍,8510,0.12,,066670,13.16,15.43,0.66,1
2022-04-08,11:47:32,린드먼아시아,7000,0.0,,277070,26.35,28.34,0.0,0
2022-04-08,13:51:07,KCTC,7020,-1.71,,009070,13.23,13.87,1.13,1
2022-04-08,13:54:03,엠아이텍,10750,2.33,,179290,26.77,29.72,2.24,1
2022-04-08,14:50:09,시너지이노베이션,4530,-0.11,,048870,22.43,24.73,0.54,1
2022-04-08,15:00:57,시너지이노베이션,4375,-2.83,,048870,18.24,24.73,0.54,1
2022-04-08,15:05:32,시너지이노베이션,4315,-1.39,,048870,16.62,24.73,0.54,1
